Model,Accuracy,Precision,Recall,F1 Score
Random Forest,0.75375,0.7509698846088293,0.75375,0.7507535041465513
SVM,0.77125,0.770536929608504,0.77125,0.7662953498533014
XGBoost,0.75875,0.7547437418574353,0.75875,0.7540389222490615
